airline,flightId,scheduleDateTime,estimatedDateTime,airport,chkinrange,gatenumber,codeshare,masterflightid,remark,airportCode,terminalid,target_airport_code
일본항공,JL5268,202609262050,202609262050,오사카/ 간사이,A B C D,,Slave,KE737,,KIX,P03,KIX
아시아나항공,OZ9861,202609262050,202609262050,오사카/ 간사이,A B C D,,Slave,KE737,,KIX,P03,KIX
피치항공,MM710,202609262055,202609262055,오사카/ 간사이,K29-K34,,Master,,,KIX,P02,KIX
트리니티항공,TW307,202609262105,202609262105,오사카/ 간사이,A01-C34,,Master,,,KIX,P02,KIX
트리니티항공,TW317,202609262230,202609262230,오사카/ 간사이,A01-C34,,Master,,,KIX,P02,KIX
피치항공,MM716,202609270325,202609270325,오사카/ 간사이,K29-K34,,Master,,,KIX,P02,KIX
아시아나항공,OZ112,202609270655,202609270655,오사카/ 간사이,G17-J40,,Master,,,KIX,P03,KIX
에티하드 항공,EY8448,202609270655,202609270655,오사카/ 간사이,G17-J40,,Slave,OZ112,,KIX,P03,KIX
전일본공수,NH6952,202609270655,202609270655,오사카/ 간사이,G17-J40,,Slave,OZ112,,KIX,P03,KIX
대한항공,KE5721,202609270655,202609270655,오사카/ 간사이,G17-J40,,Slave,OZ112,,KIX,P03,KIX
제주항공,7C1301,202609270710,202609270710,오사카/ 간사이,L13-L36,,Master,,,KIX,P02,KIX
에어서울,RS711,202609270715,202609270715,오사카/ 간사이,E01-E10,,Master,,,KIX,P03,KIX
피치항공,MM712,202609270730,202609270730,오사카/ 간사이,K29-K34,,Master,,,KIX,P02,KIX
진에어,LJ231,202609270740,202609270740,오사카/ 간사이,E21-F17,,Master,,,KIX,P03,KIX
대한항공,KE5071,202609270740,202609270740,오사카/ 간사이,E21-F17,,Slave,LJ231,,KIX,P03,KIX
제주항공,7C1391,202609270755,202609270755,오사카/ 간사이,L13-L36,,Master,,,KIX,P02,KIX
트리니티항공,TW301,202609270800,202609270800,오사카/ 간사이,A01-C34,,Master,,,KIX,P02,KIX
진에어,LJ241,202609270810,202609270810,오사카/ 간사이,E21-F17,,Master,,,KIX,P03,KIX
제주항공,7C1303,202609270905,202609270905,오사카/ 간사이,L13-L36,,Master,,,KIX,P02,KIX
이스타항공,ZE611,202609270915,202609270915,오사카/ 간사이,F19-G13,,Master,,,KIX,P02,KIX
대한항공,KE723,202609270935,202609270935,오사카/ 간사이,A B C D,,Master,,,KIX,P03,KIX
델타항공,DL7785,202609270935,202609270935,오사카/ 간사이,A B C D,,Slave,KE723,,KIX,P03,KIX
몽골항공,OM6703,202609270935,202609270935,오사카/ 간사이,A B C D,,Slave,KE723,,KIX,P03,KIX
일본항공,JL5210,202609270935,202609270935,오사카/ 간사이,A B C D,,Slave,KE723,,KIX,P03,KIX
아시아나항공,OZ9855,202609270935,202609270935,오사카/ 간사이,A B C D,,Slave,KE723,,KIX,P03,KIX
에어부산,BX172,202609270940,202609270940,오사카/ 간사이,E11-E19,,Master,,,KIX,P03,KIX
아시아나항공,OZ9568,202609270940,202609270940,오사카/ 간사이,E11-E19,,Slave,BX172,,KIX,P03,KIX
진에어,LJ233,202609271010,202609271010,오사카/ 간사이,E21-F17,,Master,,,KIX,P03,KIX
트리니티항공,TW309,202609271020,202609271020,오사카/ 간사이,A01-C34,,Master,,,KIX,P02,KIX
피치항공,MM714,202609271020,202609271020,오사카/ 간사이,K29-K34,,Master,,,KIX,P02,KIX
전일본공수,NH3524,202609271020,202609271020,오사카/ 간사이,K29-K34,,Slave,MM714,,KIX,P02,KIX
제주항공,7C1305,202609271040,202609271040,오사카/ 간사이,L13-L36,,Master,,,KIX,P02,KIX
트리니티항공,TW303,202609271050,202609271050,오사카/ 간사이,A01-C34,,Master,,,KIX,P02,KIX
파라타항공,WE511,202609271110,202609271110,오사카/ 간사이,B21-B32,,Master,,,KIX,P02,KIX
에어부산,BX174,202609271300,202609271300,오사카/ 간사이,E11-E19,,Master,,,KIX,P03,KIX
아시아나항공,OZ9570,202609271300,202609271300,오사카/ 간사이,E11-E19,,Slave,BX174,,KIX,P03,KIX
에어서울,RS713,202609271315,202609271315,오사카/ 간사이,E01-E10,,Master,,,KIX,P03,KIX
제주항공,7C1393,202609271405,202609271405,오사카/ 간사이,L13-L36,,Master,,,KIX,P02,KIX
피치항공,MM706,202609271440,202609271440,오사카/ 간사이,K29-K34,,Master,,,KIX,P02,KIX
에어부산,BX176,202609271450,202609271450,오사카/ 간사이,E11-E19,,Master,,,KIX,P03,KIX
아시아나항공,OZ9572,202609271450,202609271450,오사카/ 간사이,E11-E19,,Slave,BX176,,KIX,P03,KIX
대한항공,KE725,202609271505,202609271505,오사카/ 간사이,A B C D,,Master,,,KIX,P03,KIX
에어 프랑스,AF5374,202609271505,202609271505,오사카/ 간사이,A B C D,,Slave,KE725,,KIX,P03,KIX
델타항공,DL7787,202609271505,202609271505,오사카/ 간사이,A B C D,,Slave,KE725,,KIX,P03,KIX
일본항공,JL5212,202609271505,202609271505,오사카/ 간사이,A B C D,,Slave,KE725,,KIX,P03,KIX
몽골항공,OM6705,202609271505,202609271505,오사카/ 간사이,A B C D,,Slave,KE725,,KIX,P03,KIX
버진 애틀랜틱 항공,VS5548,202609271505,202609271505,오사카/ 간사이,A B C D,,Slave,KE725,,KIX,P03,KIX
아시아나항공,OZ9857,202609271505,202609271505,오사카/ 간사이,A B C D,,Slave,KE725,,KIX,P03,KIX
이스타항공,ZE613,202609271515,202609271515,오사카/ 간사이,F22-G13,,Master,,,KIX,P02,KIX
에어서울,RS715,202609271520,202609271520,오사카/ 간사이,E01-E10,,Master,,,KIX,P03,KIX
트리니티항공,TW305,202609271555,202609271555,오사카/ 간사이,A01-C34,,Master,,,KIX,P02,KIX
진에어,LJ239,202609271610,202609271610,오사카/ 간사이,E21-F17,,Master,,,KIX,P03,KIX
아시아나항공,OZ114,202609271640,202609271640,오사카/ 간사이,G17-J40,,Master,,,KIX,P03,KIX
에티하드 항공,EY8449,202609271640,202609271640,오사카/ 간사이,G17-J40,,Slave,OZ114,,KIX,P03,KIX
전일본공수,NH6954,202609271640,202609271640,오사카/ 간사이,G17-J40,,Slave,OZ114,,KIX,P03,KIX
대한항공,KE5723,202609271640,202609271640,오사카/ 간사이,G17-J40,,Slave,OZ114,,KIX,P03,KIX
제주항공,7C1307,202609271700,202609271700,오사카/ 간사이,L13-L36,,Master,,,KIX,P02,KIX
파라타항공,WE513,202609271745,202609271745,오사카/ 간사이,B21-B32,,Master,,,KIX,P02,KIX
대한항공,KE721,202609271845,202609271845,오사카/ 간사이,A B C D,,Master,,,KIX,P03,KIX
아시아나항공,OZ9859,202609271845,202609271845,오사카/ 간사이,A B C D,,Slave,KE721,,KIX,P03,KIX
에어서울,RS717,202609271905,202609271905,오사카/ 간사이,E01-E10,,Master,,,KIX,P03,KIX
제주항공,7C1395,202609271920,202609271920,오사카/ 간사이,L13-L36,,Master,,,KIX,P02,KIX
진에어,LJ243,202609271930,202609271930,오사카/ 간사이,E21-F17,,Master,,,KIX,P03,KIX
아시아나항공,OZ116,202609271935,202609271935,오사카/ 간사이,G17-J40,,Master,,,KIX,P03,KIX
에어캐나다,AC6974,202609271935,202609271935,오사카/ 간사이,G17-J40,,Slave,OZ116,,KIX,P03,KIX
에티오피아항공,ET1290,202609271935,202609271935,오사카/ 간사이,G17-J40,,Slave,OZ116,,KIX,P03,KIX
에티하드 항공,EY8450,202609271935,202609271935,오사카/ 간사이,G17-J40,,Slave,OZ116,,KIX,P03,KIX
전일본공수,NH6956,202609271935,202609271935,오사카/ 간사이,G17-J40,,Slave,OZ116,,KIX,P03,KIX
대한항공,KE5499,202609271935,202609271935,오사카/ 간사이,G17-J40,,Slave,OZ116,,KIX,P03,KIX
아시아나항공,OZ118,202609272040,202609272040,오사카/ 간사이,G17-J40,,Master,,,KIX,P03,KIX
대한항공,KE5501,202609272040,202609272040,오사카/ 간사이,G17-J40,,Slave,OZ118,,KIX,P03,KIX
대한항공,KE737,202609272050,202609272050,오사카/ 간사이,A B C D,,Master,,,KIX,P03,KIX
델타항공,DL7874,202609272050,202609272050,오사카/ 간사이,A B C D,,Slave,KE737,,KIX,P03,KIX
일본항공,JL5268,202609272050,202609272050,오사카/ 간사이,A B C D,,Slave,KE737,,KIX,P03,KIX
아시아나항공,OZ9861,202609272050,202609272050,오사카/ 간사이,A B C D,,Slave,KE737,,KIX,P03,KIX
피치항공,MM710,202609272055,202609272055,오사카/ 간사이,K29-K34,,Master,,,KIX,P02,KIX
트리니티항공,TW307,202609272105,202609272105,오사카/ 간사이,A01-C34,,Master,,,KIX,P02,KIX
트리니티항공,TW317,202609272230,202609272230,오사카/ 간사이,A01-C34,,Master,,,KIX,P02,KIX
피치항공,MM716,202609280325,202609280325,오사카/ 간사이,K29-K34,,Master,,,KIX,P02,KIX
아시아나항공,OZ112,202609280655,202609280655,오사카/ 간사이,G17-J40,,Master,,,KIX,P03,KIX
에티하드 항공,EY8448,202609280655,202609280655,오사카/ 간사이,G17-J40,,Slave,OZ112,,KIX,P03,KIX
전일본공수,NH6952,202609280655,202609280655,오사카/ 간사이,G17-J40,,Slave,OZ112,,KIX,P03,KIX
대한항공,KE5721,202609280655,202609280655,오사카/ 간사이,G17-J40,,Slave,OZ112,,KIX,P03,KIX
제주항공,7C1301,202609280710,202609280710,오사카/ 간사이,L13-L36,,Master,,,KIX,P02,KIX
에어서울,RS711,202609280715,202609280715,오사카/ 간사이,E01-E10,,Master,,,KIX,P03,KIX
피치항공,MM712,202609280730,202609280730,오사카/ 간사이,K29-K34,,Master,,,KIX,P02,KIX
진에어,LJ231,202609280740,202609280740,오사카/ 간사이,E21-F17,,Master,,,KIX,P03,KIX
대한항공,KE5071,202609280740,202609280740,오사카/ 간사이,E21-F17,,Slave,LJ231,,KIX,P03,KIX
제주항공,7C1391,202609280755,202609280755,오사카/ 간사이,L13-L36,,Master,,,KIX,P02,KIX
트리니티항공,TW301,202609280800,202609280800,오사카/ 간사이,A01-C34,,Master,,,KIX,P02,KIX
진에어,LJ241,202609280810,202609280810,오사카/ 간사이,E21-F17,,Master,,,KIX,P03,KIX
제주항공,7C1303,202609280905,202609280905,오사카/ 간사이,L13-L36,,Master,,,KIX,P02,KIX
이스타항공,ZE611,202609280915,202609280915,오사카/ 간사이,F19-G13,,Master,,,KIX,P02,KIX
대한항공,KE723,202609280935,202609280935,오사카/ 간사이,A B C D,,Master,,,KIX,P03,KIX
델타항공,DL7785,202609280935,202609280935,오사카/ 간사이,A B C D,,Slave,KE723,,KIX,P03,KIX
몽골항공,OM6703,202609280935,202609280935,오사카/ 간사이,A B C D,,Slave,KE723,,KIX,P03,KIX
일본항공,JL5210,202609280935,202609280935,오사카/ 간사이,A B C D,,Slave,KE723,,KIX,P03,KIX
아시아나항공,OZ9855,202609280935,202609280935,오사카/ 간사이,A B C D,,Slave,KE723,,KIX,P03,KIX
에어부산,BX172,202609280940,202609280940,오사카/ 간사이,E11-E19,,Master,,,KIX,P03,KIX
아시아나항공,OZ9568,202609280940,202609280940,오사카/ 간사이,E11-E19,,Slave,BX172,,KIX,P03,KIX
진에어,LJ233,202609281010,202609281010,오사카/ 간사이,E21-F17,,Master,,,KIX,P03,KIX
피치항공,MM714,202609281020,202609281020,오사카/ 간사이,K29-K34,,Master,,,KIX,P02,KIX
전일본공수,NH3524,202609281020,202609281020,오사카/ 간사이,K29-K34,,Slave,MM714,,KIX,P02,KIX
제주항공,7C1305,202609281040,202609281040,오사카/ 간사이,L13-L36,,Master,,,KIX,P02,KIX
트리니티항공,TW303,202609281050,202609281050,오사카/ 간사이,A01-C34,,Master,,,KIX,P02,KIX
파라타항공,WE511,202609281110,202609281110,오사카/ 간사이,B21-B32,,Master,,,KIX,P02,KIX
에어부산,BX174,202609281300,202609281300,오사카/ 간사이,E11-E19,,Master,,,KIX,P03,KIX
